Product Name,Price
Cocacola,3.3$
Pepsi,5$
Sprite,3.5$
Fanta Orange,3.5$
Iced Tea,2.8$
Lemonade,3$
Mineral Water,1.5$
Orange Juice,4$
Apple Juice,4$
Mango Smoothie,5.5$
Strawberry Smoothie,5.5$
Iced Coffee,4.5$
Hot Coffee,3.5$
Cappuccino,4.8$
Latte,4.8$
Espresso,3$
Green Tea,3$
Milk Tea,4.5$
Thai Tea,4.5$
Hot Chocolate,4$
French Fries,4$
Cheese Fries,5$
Onion Rings,4.5$
Chicken Nuggets,6$
Mozzarella Sticks,6.5$
Garlic Bread,3.5$
Spring Rolls,5$
Fried Calamari,7$
Chicken Wings,7.5$
Potato Wedges,4.5$
Caesar Salad,7$
Garden Salad,6$
Chicken Salad,8$
Tuna Salad,8$
Greek Salad,7.5$
Tomato Soup,4.5$
Mushroom Soup,5$
Chicken Soup,5.5$
Pumpkin Soup,5$
Seafood Soup,7$
Margherita Pizza,9$
Pepperoni Pizza,10$
Hawaiian Pizza,10$
BBQ Chicken Pizza,11$
Vegetarian Pizza,9.5$
Meat Lovers Pizza,12$
Four Cheese Pizza,11$
Seafood Pizza,12.5$
Mushroom Pizza,10$
Spaghetti Bolognese,9$
Spaghetti Carbonara,9.5$
Spaghetti Aglio Olio,8$
Chicken Alfredo Pasta,10$
Seafood Pasta,11$
Lasagna,10$
Mac and Cheese,8.5$
Penne Arrabbiata,8.5$
Beef Burger,8$
Cheese Burger,8.5$
Chicken Burger,7.5$
Fish Burger,8$
Veggie Burger,7$
Double Beef Burger,11$
BBQ Bacon Burger,10$
Grilled Chicken Sandwich,7$
Club Sandwich,8$
Tuna Sandwich,6.5$
Chicken Wrap,7$
Beef Wrap,8$
Vegetable Wrap,6$
Grilled Chicken,11$
Fried Chicken,9$
Chicken Steak,10$
Beef Steak,15$
Grilled Salmon,14$
Fish and Chips,10$
Chicken Rice,7$
Beef Rice Bowl,9$
Fried Rice,6.5$
Chicken Fried Rice,7.5$
Seafood Fried Rice,9$
Pad Thai,7$
Chicken Curry,8$
Beef Curry,9$
Vegetable Curry,6.5$
Chicken Noodle Soup,7$
Beef Noodle Soup,8$
Seafood Noodle Soup,9$
Ramen,9$
Fried Noodles,7$
Cheesecake,5$
Chocolate Cake,5$
Tiramisu,5.5$
Brownie,4.5$
Ice Cream Sundae,5$
Vanilla Ice Cream,3.5$
Chocolate Ice Cream,3.5$
Fruit Salad,4.5$
Apple Pie,4$
Banana Split,5$
